task,model,harness,trial,reward,passed,primary_label,attribution,mode,mechanism,evidence
01-entitlement-overage-lines,Grok 4.6,Grok Build,2,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,free-dimension-line-gated-on-positive-quantity,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-02/recovered-original-verifier
01-entitlement-overage-lines,Grok 4.6,Grok Build,3,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,free-dimension-line-gated-on-positive-quantity,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-03/recovered-original-verifier
01-entitlement-overage-lines,Grok 4.6,Grok Build,4,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,free-dimension-line-gated-on-positive-quantity,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-04/recovered-original-verifier
01-entitlement-overage-lines,Grok 4.6,Grok Build,5,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-05
01-entitlement-overage-lines,Grok 4.6,Grok Build,6,0.0,0,MISSED_REQUIREMENT,model,Owed free usage shown even when settings hide it,positive-quantity-overrides-hide-free-dimensions,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-06/recovered-original-verifier
01-entitlement-overage-lines,Grok 4.6,Grok Build,7,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,free-dimension-line-gated-on-positive-quantity,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-07/recovered-original-verifier
01-entitlement-overage-lines,Grok 4.6,Grok Build,8,0.0,0,MISSED_REQUIREMENT,model,Missing overage flag treated as permission to bill,zero-price-gate-plus-absent-overage-flag-read-as-permission,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-08/recovered-original-verifier
01-entitlement-overage-lines,Kimi K3,Kimi Code,1,0.0,0,MISSED_REQUIREMENT,model,Owed free usage shown even when settings hide it,"Skip fires only when owed is zero AND (priced, no series, or hide) (L2122); owed free lines appear under hide, no-series free lines vanish under show; own hide test rewritten at step 61; 29372e84",verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-01
01-entitlement-overage-lines,Kimi K3,Kimi Code,2,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-02
01-entitlement-overage-lines,Kimi K3,Kimi Code,3,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-03
01-entitlement-overage-lines,Kimi K3,Kimi Code,4,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-04
01-entitlement-overage-lines,Kimi K3,Kimi Code,5,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-05
01-entitlement-overage-lines,Kimi K3,Kimi Code,6,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,`if (owedQuantity <= 0) return` in the non-tiered loop before the unitCost === 0 check (L1241); all eight new tests use owed > 0; 713c3c86,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-06
01-entitlement-overage-lines,Kimi K3,Kimi Code,7,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-07
01-entitlement-overage-lines,Kimi K3,Kimi Code,8,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/kimi-k3-kimi-code/trial-08
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,1,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,readUsage `continue` on `owedQuantity <= 0` (L857) before the free-dimension setting; four solstice free lines missing; 713c3c86,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-01
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,2,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,prepareBillableUsage filter `quantityOwed <= 0 || (isFree && hide)` (L953); zero-owed free dimensions dropped under show; 713c3c86,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-02
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,3,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-03
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,4,0.0,0,INTEGRATION_ERROR,model,Customer with nothing billable crashes the whole run,"Line rule correct (L1095) but getLineItemsForUsage called with empty overrides and undefined customerService, hitting the legacy findUsageForCustomer path (L419); cardinal run failed; e3d51c40",verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-04
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,5,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,`if (quantityOwed <= 0) return` inserted at top of Offering.getLineItemsForUsage loop (L801) before the consumptionPrice === 0 check; 713c3c86,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-05
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,6,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,selectBillableUsage skips measuredTotal <= 0 and owedQuantity <= 0 (L722); hide setting used only as a post-filter; 713c3c86,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-06
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,7,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,billableUsage `if (owedQuantity <= 0) return` (L859) before the unitPrice === 0 && hide check; 713c3c86,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-07
01-entitlement-overage-lines,GPT-5.6 Sol,Codex CLI,8,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,Combined filter `!(owedQuantity > 0) || (isFree && hide)` (L1022); narration at L1016 stated the right rule but code added the owed > 0 precondition; 713c3c86,verification/01-entitlement-overage-lines/gpt-5.6-sol-codex-real-swe/trial-08
02-multi-region-sweep,Fable 5.1,Claude Code,1,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-01
02-multi-region-sweep,Fable 5.1,Claude Code,2,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-02
02-multi-region-sweep,Fable 5.1,Claude Code,3,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-03
02-multi-region-sweep,Fable 5.1,Claude Code,4,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-04
02-multi-region-sweep,Fable 5.1,Claude Code,5,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-05
02-multi-region-sweep,Fable 5.1,Claude Code,6,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Splice at L1227 stopped at 'export const getAllSnapshots'; snapshot reader left single-region and named as out of scope,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-06
02-multi-region-sweep,Fable 5.1,Claude Code,7,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-07
02-multi-region-sweep,Fable 5.1,Claude Code,8,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/fable-5.1-claude-code-real-swe/trial-08
02-multi-region-sweep,GLM 5.3,Claude Code,1,0.0,0,WRONG_FILE,model,Delivered a one-off script instead of changing the app,Full sweep written to /tmp/sweep-block-storage.js at L1366; no Write or Edit under /app/src anywhere in the run,verification/02-multi-region-sweep/glm-5.3-claude-code/trial-01
02-multi-region-sweep,GLM 5.3,Claude Code,2,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/glm-5.3-claude-code/trial-02
02-multi-region-sweep,GLM 5.3,Claude Code,3,0.0,0,WRONG_FILE,model,Delivered a one-off script instead of changing the app,"Discovery, isolation, retry and pagination all written into /tmp/block-storage-sweep.js at L2016; awsEc2.ts only read",verification/02-multi-region-sweep/glm-5.3-claude-code/trial-03
02-multi-region-sweep,GLM 5.3,Claude Code,4,0.0,0,WRONG_FILE,model,Delivered a one-off script instead of changing the app,Sweep written to /app/.scratch/block-storage-sweep.cjs at L2155; its omission rule also drops a region from snapshots when only volumes were refused,verification/02-multi-region-sweep/glm-5.3-claude-code/trial-04
02-multi-region-sweep,GLM 5.3,Claude Code,5,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/glm-5.3-claude-code/trial-05
02-multi-region-sweep,GLM 5.3,Claude Code,6,0.0,0,WRONG_FILE,model,Delivered a one-off script instead of changing the app,"Concluded from grepping node_modules that the SDK cannot reach the emulator without an explicit endpoint, then wrote /tmp/blockStorageSweep.js at L5716 rather than fixing awsEc2.ts",verification/02-multi-region-sweep/glm-5.3-claude-code/trial-06
02-multi-region-sweep,GLM 5.3,Claude Code,7,0.0,0,INTEGRATION_ERROR,model,Added new functions the running code never calls,Added getAllVolumesAcrossRegions/getAllSnapshotsAcrossRegions beside the originals at L3335 and left the callers and graded exports on the single-region bodies,verification/02-multi-region-sweep/glm-5.3-claude-code/trial-07
02-multi-region-sweep,GLM 5.3,Claude Code,8,0.0,0,INTEGRATION_ERROR,model,Added new functions the running code never calls,Shipped a new production module src/utils/aws/awsEbsRegionInventory.ts at L3232 that nothing imports; awsEc2.ts untouched,verification/02-multi-region-sweep/glm-5.3-claude-code/trial-08
02-multi-region-sweep,Grok 4.6,Grok Build,1,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Swept enabled regions for the disk reader and left the backup reader on its original single region,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-01/recovered-original-verifier
02-multi-region-sweep,Grok 4.6,Grok Build,2,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Swept enabled regions for the disk reader and left the backup reader on its original single region,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-02/recovered-original-verifier
02-multi-region-sweep,Grok 4.6,Grok Build,3,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-03
02-multi-region-sweep,Grok 4.6,Grok Build,4,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Swept enabled regions for the disk reader and left the backup reader on its original single region,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-04/recovered-original-verifier
02-multi-region-sweep,Grok 4.6,Grok Build,5,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Swept enabled regions for the disk reader and left the backup reader on its original single region,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-05/recovered-original-verifier
02-multi-region-sweep,Grok 4.6,Grok Build,6,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Swept enabled regions for the disk reader and left the backup reader on its original single region,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-06/recovered-original-verifier
02-multi-region-sweep,Grok 4.6,Grok Build,7,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-07
02-multi-region-sweep,Grok 4.6,Grok Build,8,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/grok-4.6-grok-build-real-swe/trial-08
02-multi-region-sweep,Kimi K3,Kimi Code,1,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-01
02-multi-region-sweep,Kimi K3,Kimi Code,2,0.0,0,TRIAL_INCOMPLETE,model,Answered with one sentence and did no work,"One text-only step at L14, no tool calls, run ended in 49s with the workspace untouched",verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-02
02-multi-region-sweep,Kimi K3,Kimi Code,3,0.0,0,WRONG_FILE,model,Delivered a one-off script instead of changing the app,One narrow grep led to 'no existing sweep code' at L51; wrote a volumes-only CLI at /app/scripts/sweep-block-storage.js and never opened awsEc2.ts,verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-03
02-multi-region-sweep,Kimi K3,Kimi Code,4,0.0,0,INTEGRATION_ERROR,model,Added new functions the running code never calls,"Added getAllVolumesAcrossRegions to awsEc2.ts at L463, left getAllVolumes untouched and never touched getAllSnapshots",verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-04
02-multi-region-sweep,Kimi K3,Kimi Code,5,0.0,0,WRONG_FILE,model,Delivered a one-off script instead of changing the app,"Never read any file under src/; went straight to Write of /app/scripts/sweep-block-storage.js at L194, volumes only",verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-05
02-multi-region-sweep,Kimi K3,Kimi Code,6,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-06
02-multi-region-sweep,Kimi K3,Kimi Code,7,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Edit at L533 spans only getAllVolumes; its own final read at L765 shows getAllSnapshots still on the single-region body,verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-07
02-multi-region-sweep,Kimi K3,Kimi Code,8,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,"Probed DescribeSnapshots per region and saw snapshot-specific refusal and throttle at L494, then scoped snapshots out at L507",verification/02-multi-region-sweep/kimi-k3-kimi-code/trial-08
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,1,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,apply_patch at L753 rewrote getAllVolumes only; post-patch listing at L1148 still shows getAllSnapshots returning { [region]: snapshots },verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-01
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,2,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,"Scoped the change to getAllVolumes at L280 and patched only it at L648, despite its own grep showing the snapshot gatherer at L327",verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-02
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,3,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-03
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,4,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-04
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,5,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-05
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,6,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-06
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,7,1.0,1,LEGITIMATE,,,,verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-07
02-multi-region-sweep,GPT-5.6 Sol,Codex CLI,8,0.0,0,MISSED_REQUIREMENT,model,Updated the disk sweep but not the backup sweep,Single function hunk for getAllVolumes at L324 after printing the snapshot gatherer at L227; snapshot body unchanged at L541,verification/02-multi-region-sweep/gpt-5.6-sol-codex-real-swe/trial-08
04-tax-jurisdiction,Fable 5.1,Claude Code,1,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Never issued a command outside /app, so invented rounding, casing, VAT wording and line items; 59 of 226 checks fail",verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-01
04-tax-jurisdiction,Fable 5.1,Claude Code,2,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Same blind build; additionally divided the stored manual rate by 100, giving 0.0021 where 0.21 is expected",verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-02
04-tax-jurisdiction,Fable 5.1,Claude Code,3,0.0,0,UNVERIFIED_ASSUMPTION,model,Reported every paid sale to the tax provider,"Read the recording and matched everything except the filing test; credential-plus-regime only, so Stockholm and Osaka file (3 of 256)",verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-03
04-tax-jurisdiction,Fable 5.1,Claude Code,4,0.0,0,UNVERIFIED_ASSUMPTION,model,Reported every paid sale to the tax provider,"Different architecture, same omission: a per-business filing predicate that never sees the destination address (3 of 256)",verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-04
04-tax-jurisdiction,Fable 5.1,Claude Code,5,1.0,1,LEGITIMATE,,,,verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-05
04-tax-jurisdiction,Fable 5.1,Claude Code,6,0.0,0,UNVERIFIED_ASSUMPTION,model,Reported every paid sale to the tax provider,Had the authority log in context showing five filings against seven paid invoices and never asked why; files 7 (3 of 256),verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-06
04-tax-jurisdiction,Fable 5.1,Claude Code,7,0.0,0,UNVERIFIED_ASSUMPTION,model,"Chose which sales to report by country, not address","Explained the one unfiled sale as a country allow-list (US/CA/AU plus Europe), so state-less Sweden still files (2 of 256)",verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-07
04-tax-jurisdiction,Fable 5.1,Claude Code,8,0.0,0,UNVERIFIED_ASSUMPTION,model,Reported every paid sale to the tax provider,"Filing needs only a credential; its replay check derived the expected filed set from 'Paid' status, assuming away the gap (3 of 256)",verification/04-tax-jurisdiction/fable-5.1-claude-code-real-swe/trial-08
04-tax-jurisdiction,GLM 5.3,Claude Code,1,0.0,0,UNVERIFIED_ASSUMPTION,model,"Chose which sales to report by country, not address",US-plus-EU filing list files Stockholm and skips Sydney; refusal reported only as a warning tag (3 of 246),verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-01
04-tax-jurisdiction,GLM 5.3,Claude Code,2,0.0,0,UNVERIFIED_ASSUMPTION,model,"Chose which sales to report by country, not address","Enumerated both readings, picked the country list as the safer reproduction; identical 3 of 246 to trial 1",verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-02
04-tax-jurisdiction,GLM 5.3,Claude Code,3,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Declared the recorded month an answer key and left it unread, then guessed rounding, VAT layout, street handling and filing (25 of 208)",verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-03
04-tax-jurisdiction,GLM 5.3,Claude Code,4,1.0,1,LEGITIMATE,,,,verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-04
04-tax-jurisdiction,GLM 5.3,Claude Code,5,0.0,0,TRIAL_INCOMPLETE,model,Ran past the turn limit while re-checking finished work,Implementation done by step 130; spent seventy turns debugging a replay harness with empty read-backs and never submitted,verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-05
04-tax-jurisdiction,GLM 5.3,Claude Code,6,0.0,0,UNVERIFIED_ASSUMPTION,model,"Chose which sales to report by country, not address","Named the state-presence alternative, preferred the country list because an unused EU data file felt intended (3 of 246)",verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-06
04-tax-jurisdiction,GLM 5.3,Claude Code,7,0.0,0,TRIAL_INCOMPLETE,model,Ran past the turn limit while re-checking finished work,Full recorded-month replay already matched and the correct filing test chosen; blocked on a background jest run at the cap,verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-07
04-tax-jurisdiction,GLM 5.3,Claude Code,8,0.0,0,UNVERIFIED_ASSUMPTION,model,"Chose which sales to report by country, not address","Wrote that the two readings are indistinguishable, then locked in US-or-Europe without opening the client's typings (3 of 246)",verification/04-tax-jurisdiction/glm-5.3-claude-code/trial-08
04-tax-jurisdiction,Grok 4.6,Grok Build,1,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-01/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,2,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-02/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,3,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-03/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,4,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-04/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,5,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-05/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,6,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-06/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,7,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-07/recovered-original-verifier
04-tax-jurisdiction,Grok 4.6,Grok Build,8,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,invoice-contract-invented-unread-recording,verification/04-tax-jurisdiction/grok-4.6-grok-build-real-swe/trial-08/recovered-original-verifier
04-tax-jurisdiction,Kimi K3,Kimi Code,1,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Declared 'the full picture' after reading only /app and taxjar typings; cent rounding, 'VAT ID:', regime-only filing (22 of 226)",verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-01
04-tax-jurisdiction,Kimi K3,Kimi Code,2,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,Added an uppercasing country normaliser and a percent-scaled manual rate on top of the shared guesses (37 of 226),verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-02
04-tax-jurisdiction,Kimi K3,Kimi Code,3,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Collapsed all priced lines into one synthetic line, filed the gross, and skipped filing for exempt customers (37 of 198)",verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-03
04-tax-jurisdiction,Kimi K3,Kimi Code,4,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Curled GitHub for the upstream repo, hand-typed an EU list missing GB, and divided the manual rate by 100 (22 of 226)",verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-04
04-tax-jurisdiction,Kimi K3,Kimi Code,5,0.0,0,UNVERIFIED_ASSUMPTION,model,Reported every paid sale to the tax provider,"Only Kimi run to read the recording; filing needs a credential alone, and the refusal stayed off the response (4 of 256)",verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-05
04-tax-jurisdiction,Kimi K3,Kimi Code,6,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,Built against the taxjar client's defaults; joined street on the lookup lost the San Francisco rate request (24 of 218),verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-06
04-tax-jurisdiction,Kimi K3,Kimi Code,7,0.0,0,UNVERIFIED_ASSUMPTION,model,Guessed the tax provider's message format without reading saved traffic,"Put VAT numbers in the PDF label blocks, leaving the graded stored address blocks untouched on all six EU invoices (24 of 226)",verification/04-tax-jurisdiction/kimi-k3-kimi-code/trial-07
